
Smileys & Emotion
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
1351 ,U+1F4F4 ,📴 ,📴 ,📴 ,📴 ,📴 ,📴 ,📴 ,📴 ,📴 ,📴 ,— ,📴 ,mobile phone off
gender
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
1352 ,U+2640 ,♀ ,— ,♀ ,♀ ,♀ ,♀ ,♀ ,♀ ,— ,— ,— ,— ,female sign
1353 ,U+2642 ,♂ ,— ,♂ ,♂ ,♂ ,♂ ,♂ ,♂ ,— ,— ,— ,— ,male sign
math
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
1354 ,U+2716 ,✖ ,✖ ,✖ ,✖ ,✖ ,✖ ,✖ ,✖ ,— ,— ,— ,✖ ,multiply
1355 ,U+2795 ,➕ ,➕ ,➕ ,➕ ,➕ ,➕ ,➕ ,➕ ,➕ ,— ,— ,➕ ,plus
1356 ,U+2796 ,➖ ,➖ ,➖ ,➖ ,➖ ,➖ ,➖ ,➖ ,➖ ,— ,— ,➖ ,minus
1357 ,U+2797 ,➗ ,➗ ,➗ ,➗ ,➗ ,➗ ,➗ ,➗ ,➗ ,— ,— ,➗ ,divide
1358 ,U+267E ,♾ ,♾ ,♾ ,♾ ,♾ ,♾ ,♾ ,♾ ,— ,— ,— ,— ,infinity
punctuation
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
1359 ,U+203C ,‼ ,‼ ,‼ ,‼ ,‼ ,‼ ,‼ ,‼ ,‼ ,— ,‼ ,‼ ,double exclamation mark
1360 ,U+2049 ,⁉ ,⁉ ,⁉ ,⁉ ,⁉ ,⁉ ,⁉ ,⁉ ,⁉ ,— ,⁉ ,⁉ ,exclamation question mark
1361 ,U+2753 ,❓ ,❓ ,❓ ,❓ ,❓ ,❓ ,❓ ,❓ ,❓ ,❓ ,— ,❓ ,question mark
1362 ,U+2754 ,❔ ,❔ ,❔ ,❔ ,❔ ,❔ ,❔ ,❔ ,❔ ,❔ ,— ,— ,white question mark
1363 ,U+2755 ,❕ ,❕ ,❕ ,❕ ,❕ ,❕ ,❕ ,❕ ,❕ ,❕ ,— ,— ,white exclamation mark
1364 ,U+2757 ,❗ ,❗ ,❗ ,❗ ,❗ ,❗ ,❗ ,❗ ,❗ ,❗ ,❗ ,❗ ,exclamation mark
1365 ,U+3030 ,〰 ,〰 ,〰 ,〰 ,〰 ,〰 ,〰 ,〰 ,〰 ,— ,〰 ,— ,wavy dash
currency
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
1366 ,U+1F4B1 ,💱 ,💱 ,💱 ,💱 ,💱 ,💱 ,💱 ,💱 ,💱 ,💱 ,— ,— ,currency exchange
1367 ,U+1F4B2 ,💲 ,💲 ,💲 ,💲 ,💲 ,💲 ,💲 ,💲 ,💲 ,— ,— ,💲 ,heavy dollar sign
other-symbol
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
1368 ,U+2695 ,⚕ ,— ,⚕ ,⚕ ,⚕ ,⚕ ,⚕ ,⚕ ,— ,— ,— ,— ,medical symbol
1369 ,U+267B ,♻ ,♻ ,♻ ,♻ ,♻ ,♻ ,♻ ,♻ ,♻ ,— ,♻ ,♻ ,recycling symbol
1370 ,U+269C ,⚜ ,⚜ ,⚜ ,⚜ ,⚜ ,⚜ ,⚜ ,⚜ ,— ,— ,— ,— ,fleur-de-lis
1371 ,U+1F531 ,🔱 ,🔱 ,🔱 ,🔱 ,🔱 ,🔱 ,🔱 ,🔱 ,🔱 ,🔱 ,— ,— ,trident emblem
1372 ,U+1F4DB ,📛 ,📛 ,📛 ,📛 ,📛 ,📛 ,📛 ,📛 ,📛 ,— ,— ,📛 ,name badge
1373 ,U+1F530 ,🔰 ,🔰 ,🔰 ,🔰 ,🔰 ,🔰 ,🔰 ,🔰 ,🔰 ,🔰 ,— ,🔰 ,Japanese symbol for beginner
1374 ,U+2B55 ,⭕ ,⭕ ,⭕ ,⭕ ,⭕ ,⭕ ,⭕ ,⭕ ,⭕ ,⭕ ,— ,⭕ ,hollow red circle
1375 ,U+2705 ,✅ ,✅ ,✅ ,✅ ,✅ ,✅ ,✅ ,✅ ,✅ ,— ,— ,✅ ,check mark button
1376 ,U+2611 ,☑ ,☑ ,☑ ,☑ ,☑ ,☑ ,☑ ,☑ ,☑ ,— ,— ,☑ ,check box with check
1377 ,U+2714 ,✔ ,✔ ,✔ ,✔ ,✔ ,✔ ,✔ ,✔ ,— ,— ,— ,✔ ,check mark
1378 ,U+274C ,❌ ,❌ ,❌ ,❌ ,❌ ,❌ ,❌ ,❌ ,❌ ,❌ ,— ,❌ ,cross mark
1379 ,U+274E ,❎ ,❎ ,❎ ,❎ ,❎ ,❎ ,❎ ,❎ ,❎ ,— ,— ,❎ ,cross mark button
1380 ,U+27B0 ,➰ ,➰ ,➰ ,➰ ,➰ ,➰ ,➰ ,➰ ,➰ ,— ,➰ ,➰ ,curly loop
1381 ,U+27BF ,➿ ,➿ ,➿ ,➿ ,➿ ,➿ ,➿ ,➿ ,➿ ,— ,— ,— ,double curly loop
1382 ,U+303D ,〽 ,〽 ,〽 ,〽 ,〽 ,〽 ,〽 ,〽 ,〽 ,〽 ,— ,— ,part alternation mark
1383 ,U+2733 ,✳ ,✳ ,✳ ,✳ ,✳ ,✳ ,✳ ,✳ ,✳ ,✳ ,— ,✳ ,eight-spoked asterisk
1384 ,U+2734 ,✴ ,✴ ,✴ ,✴ ,✴ ,✴ ,✴ ,✴ ,— ,✴ ,— ,✴ ,eight-pointed star
1385 ,U+2747 ,❇ ,❇ ,❇ ,❇ ,❇ ,❇ ,❇ ,❇ ,❇ ,— ,— ,❇ ,sparkle
1386 ,U+00A9 ,© ,© ,© ,© ,© ,© ,© ,© ,© ,© ,© ,© ,copyright
1387 ,U+00AE ,® ,® ,® ,® ,® ,® ,® ,® ,® ,® ,® ,® ,registered
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
1388 ,U+2122 ,™ ,™ ,™ ,™ ,™ ,™ ,™ ,™ ,™ ,™ ,™ ,™ ,trade mark
keycap
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
1389 ,U+0023 U+FE0F U+20E3 ,#️⃣ ,#️⃣ ,#️⃣ ,#️⃣ ,#️⃣ ,#️⃣ ,#️⃣ ,#️⃣ ,#️⃣ ,#️⃣ ,#️⃣ ,#️⃣ ,keycap: #
1390 ,U+002A U+FE0F U+20E3 ,*️⃣ ,*️⃣ ,*️⃣ ,*️⃣ ,*️⃣ ,*️⃣ ,*️⃣ ,*️⃣ ,— ,— ,— ,— ,keycap: *
1391 ,U+0030 U+FE0F U+20E3 ,0️⃣ ,0️⃣ ,0️⃣ ,0️⃣ ,0️⃣ ,0️⃣ ,0️⃣ ,0️⃣ ,0️⃣ ,0️⃣ ,0️⃣ ,0️⃣ ,keycap: 0
1392 ,U+0031 U+FE0F U+20E3 ,1️⃣ ,1️⃣ ,1️⃣ ,1️⃣ ,1️⃣ ,1️⃣ ,1️⃣ ,1️⃣ ,1️⃣ ,1️⃣ ,1️⃣ ,1️⃣ ,keycap: 1
1393 ,U+0032 U+FE0F U+20E3 ,2️⃣ ,2️⃣ ,2️⃣ ,2️⃣ ,2️⃣ ,2️⃣ ,2️⃣ ,2️⃣ ,2️⃣ ,2️⃣ ,2️⃣ ,2️⃣ ,keycap: 2
1394 ,U+0033 U+FE0F U+20E3 ,3️⃣ ,3️⃣ ,3️⃣ ,3️⃣ ,3️⃣ ,3️⃣ ,3️⃣ ,3️⃣ ,3️⃣ ,3️⃣ ,3️⃣ ,3️⃣ ,keycap: 3
1395 ,U+0034 U+FE0F U+20E3 ,4️⃣ ,4️⃣ ,4️⃣ ,4️⃣ ,4️⃣ ,4️⃣ ,4️⃣ ,4️⃣ ,4️⃣ ,4️⃣ ,4️⃣ ,4️⃣ ,keycap: 4
1396 ,U+0035 U+FE0F U+20E3 ,5️⃣ ,5️⃣ ,5️⃣ ,5️⃣ ,5️⃣ ,5️⃣ ,5️⃣ ,5️⃣ ,5️⃣ ,5️⃣ ,5️⃣ ,5️⃣ ,keycap: 5
1397 ,U+0036 U+FE0F U+20E3 ,6️⃣ ,6️⃣ ,6️⃣ ,6️⃣ ,6️⃣ ,6️⃣ ,6️⃣ ,6️⃣ ,6️⃣ ,6️⃣ ,6️⃣ ,6️⃣ ,keycap: 6
1398 ,U+0037 U+FE0F U+20E3 ,7️⃣ ,7️⃣ ,7️⃣ ,7️⃣ ,7️⃣ ,7️⃣ ,7️⃣ ,7️⃣ ,7️⃣ ,7️⃣ ,7️⃣ ,7️⃣ ,keycap: 7
1399 ,U+0038 U+FE0F U+20E3 ,8️⃣ ,8️⃣ ,8️⃣ ,8️⃣ ,8️⃣ ,8️⃣ ,8️⃣ ,8️⃣ ,8️⃣ ,8️⃣ ,8️⃣ ,8️⃣ ,keycap: 8
1400 ,U+0039 U+FE0F U+20E3 ,9️⃣ ,9️⃣ ,9️⃣ ,9️⃣ ,9️⃣ ,9️⃣ ,9️⃣ ,9️⃣ ,9️⃣ ,9️⃣ ,9️⃣ ,9️⃣ ,keycap: 9
1401 ,U+1F51F ,🔟 ,🔟 ,🔟 ,🔟 ,🔟 ,🔟 ,🔟 ,🔟 ,🔟 ,— ,— ,🔟 ,keycap: 10
alphanum
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
1402 ,U+1F520 ,🔠 ,🔠 ,🔠 ,🔠 ,🔠 ,🔠 ,🔠 ,🔠 ,🔠 ,— ,— ,🔠 ,input latin uppercase
1403 ,U+1F521 ,🔡 ,🔡 ,🔡 ,🔡 ,🔡 ,🔡 ,🔡 ,🔡 ,🔡 ,— ,— ,🔡 ,input latin lowercase
1404 ,U+1F522 ,🔢 ,🔢 ,🔢 ,🔢 ,🔢 ,🔢 ,🔢 ,🔢 ,🔢 ,— ,— ,🔢 ,input numbers
1405 ,U+1F523 ,🔣 ,🔣 ,🔣 ,🔣 ,🔣 ,🔣 ,🔣 ,🔣 ,🔣 ,— ,— ,🔣 ,input symbols
1406 ,U+1F524 ,🔤 ,🔤 ,🔤 ,🔤 ,🔤 ,🔤 ,🔤 ,🔤 ,🔤 ,— ,— ,🔤 ,input latin letters
1407 ,U+1F170 ,🅰 ,🅰 ,🅰 ,🅰 ,🅰 ,🅰 ,🅰 ,🅰 ,🅰 ,🅰 ,— ,🅰 ,A button (blood type)
1408 ,U+1F18E ,🆎 ,🆎 ,🆎 ,🆎 ,🆎 ,🆎 ,🆎 ,🆎 ,🆎 ,🆎 ,— ,🆎 ,AB button (blood type)
1409 ,U+1F171 ,🅱 ,🅱 ,🅱 ,🅱 ,🅱 ,🅱 ,🅱 ,🅱 ,🅱 ,🅱 ,— ,🅱 ,B button (blood type)
1410 ,U+1F191 ,🆑 ,🆑 ,🆑 ,🆑 ,🆑 ,🆑 ,🆑 ,🆑 ,🆑 ,— ,🆑 ,🆑 ,CL button
1411 ,U+1F192 ,🆒 ,🆒 ,🆒 ,🆒 ,🆒 ,🆒 ,🆒 ,🆒 ,🆒 ,🆒 ,— ,🆒 ,COOL button
1412 ,U+1F193 ,🆓 ,🆓 ,🆓 ,🆓 ,🆓 ,🆓 ,🆓 ,🆓 ,🆓 ,— ,🆓 ,🆓 ,FREE button
1413 ,U+2139 ,ℹ ,ℹ ,ℹ ,ℹ ,ℹ ,ℹ ,ℹ ,ℹ ,ℹ ,— ,— ,ℹ ,information
1414 ,U+1F194 ,🆔 ,🆔 ,🆔 ,🆔 ,🆔 ,🆔 ,🆔 ,🆔 ,🆔 ,🆔 ,🆔 ,🆔 ,ID button
1415 ,U+24C2 ,Ⓜ ,Ⓜ ,Ⓜ ,Ⓜ ,Ⓜ ,Ⓜ ,Ⓜ ,Ⓜ ,Ⓜ ,— ,Ⓜ ,— ,circled M
1416 ,U+1F195 ,🆕 ,🆕 ,🆕 ,🆕 ,🆕 ,🆕 ,🆕 ,🆕 ,🆕 ,🆕 ,🆕 ,🆕 ,NEW button
1417 ,U+1F196 ,🆖 ,🆖 ,🆖 ,🆖 ,🆖 ,🆖 ,🆖 ,🆖 ,🆖 ,— ,🆖 ,— ,NG button
1418 ,U+1F17E ,🅾 ,🅾 ,🅾 ,🅾 ,🅾 ,🅾 ,🅾 ,🅾 ,🅾 ,🅾 ,— ,🅾 ,O button (blood type)
1419 ,U+1F197 ,🆗 ,🆗 ,🆗 ,🆗 ,🆗 ,🆗 ,🆗 ,🆗 ,🆗 ,🆗 ,🆗 ,🆗 ,OK button
1420 ,U+1F17F ,🅿 ,🅿 ,🅿 ,🅿 ,🅿 ,🅿 ,🅿 ,🅿 ,🅿 ,🅿 ,🅿 ,🅿 ,P button
1421 ,U+1F198 ,🆘 ,🆘 ,🆘 ,🆘 ,🆘 ,🆘 ,🆘 ,🆘 ,🆘 ,— ,— ,🆘 ,SOS button
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
1422 ,U+1F199 ,🆙 ,🆙 ,🆙 ,🆙 ,🆙 ,🆙 ,🆙 ,🆙 ,🆙 ,🆙 ,— ,🆙 ,UP! button
1423 ,U+1F19A ,🆚 ,🆚 ,🆚 ,🆚 ,🆚 ,🆚 ,🆚 ,🆚 ,🆚 ,🆚 ,— ,🆚 ,VS button
1424 ,U+1F201 ,🈁 ,🈁 ,🈁 ,🈁 ,🈁 ,🈁 ,🈁 ,🈁 ,🈁 ,🈁 ,— ,— ,Japanese “here” button
1425 ,U+1F202 ,🈂 ,🈂 ,🈂 ,🈂 ,🈂 ,🈂 ,🈂 ,🈂 ,🈂 ,🈂 ,— ,🈂 ,Japanese “service charge” button
1426 ,U+1F237 ,🈷 ,🈷 ,🈷 ,🈷 ,🈷 ,🈷 ,🈷 ,🈷 ,🈷 ,🈷 ,— ,— ,Japanese “monthly amount” button
1427 ,U+1F236 ,🈶 ,🈶 ,🈶 ,🈶 ,🈶 ,🈶 ,🈶 ,🈶 ,🈶 ,🈶 ,— ,— ,Japanese “not free of charge” button
1428 ,U+1F22F ,🈯 ,🈯 ,🈯 ,🈯 ,🈯 ,🈯 ,🈯 ,🈯 ,🈯 ,🈯 ,— ,🈯 ,Japanese “reserved” button
1429 ,U+1F250 ,🉐 ,🉐 ,🉐 ,🉐 ,🉐 ,🉐 ,🉐 ,🉐 ,🉐 ,🉐 ,— ,🉐 ,Japanese “bargain” button
1430 ,U+1F239 ,🈹 ,🈹 ,🈹 ,🈹 ,🈹 ,🈹 ,🈹 ,🈹 ,🈹 ,🈹 ,— ,🈹 ,Japanese “discount” button
1431 ,U+1F21A ,🈚 ,🈚 ,🈚 ,🈚 ,🈚 ,🈚 ,🈚 ,🈚 ,🈚 ,🈚 ,— ,— ,Japanese “free of charge” button
1432 ,U+1F232 ,🈲 ,🈲 ,🈲 ,🈲 ,🈲 ,🈲 ,🈲 ,🈲 ,🈲 ,— ,🈲 ,— ,Japanese “prohibited” button
1433 ,U+1F251 ,🉑 ,🉑 ,🉑 ,🉑 ,🉑 ,🉑 ,🉑 ,🉑 ,🉑 ,— ,— ,🉑 ,Japanese “acceptable” button
1434 ,U+1F238 ,🈸 ,🈸 ,🈸 ,🈸 ,🈸 ,🈸 ,🈸 ,🈸 ,🈸 ,🈸 ,— ,— ,Japanese “application” button
1435 ,U+1F234 ,🈴 ,🈴 ,🈴 ,🈴 ,🈴 ,🈴 ,🈴 ,🈴 ,🈴 ,— ,🈴 ,— ,Japanese “passing grade” button
1436 ,U+1F233 ,🈳 ,🈳 ,🈳 ,🈳 ,🈳 ,🈳 ,🈳 ,🈳 ,🈳 ,🈳 ,🈳 ,🈳 ,Japanese “vacancy” button
1437 ,U+3297 ,㊗ ,㊗ ,㊗ ,㊗ ,㊗ ,㊗ ,㊗ ,㊗ ,㊗ ,㊗ ,— ,㊗ ,Japanese “congratulations” button
1438 ,U+3299 ,㊙ ,㊙ ,㊙ ,㊙ ,㊙ ,㊙ ,㊙ ,㊙ ,㊙ ,㊙ ,㊙ ,㊙ ,Japanese “secret” button
1439 ,U+1F23A ,🈺 ,🈺 ,🈺 ,🈺 ,🈺 ,🈺 ,🈺 ,🈺 ,🈺 ,🈺 ,— ,🈺 ,Japanese “open for business” button
1440 ,U+1F235 ,🈵 ,🈵 ,🈵 ,🈵 ,🈵 ,🈵 ,🈵 ,🈵 ,🈵 ,🈵 ,🈵 ,🈵 ,Japanese “no vacancy” button
geometric
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
1441 ,U+1F534 ,🔴 ,🔴 ,🔴 ,🔴 ,🔴 ,🔴 ,🔴 ,🔴 ,🔴 ,🔴 ,— ,🔴 ,red circle
1442 ,U+1F7E0 ,🟠 ,🟠 ,🟠 ,🟠 ,🟠 ,🟠 ,🟠 ,🟠 ,— ,— ,— ,— ,orange circle
1443 ,U+1F7E1 ,🟡 ,🟡 ,🟡 ,🟡 ,🟡 ,🟡 ,🟡 ,🟡 ,— ,— ,— ,— ,yellow circle
1444 ,U+1F7E2 ,🟢 ,🟢 ,🟢 ,🟢 ,🟢 ,🟢 ,🟢 ,🟢 ,— ,— ,— ,— ,green circle
1445 ,U+1F535 ,🔵 ,🔵 ,🔵 ,🔵 ,🔵 ,🔵 ,🔵 ,🔵 ,🔵 ,— ,— ,🔵 ,blue circle
1446 ,U+1F7E3 ,🟣 ,🟣 ,🟣 ,🟣 ,🟣 ,🟣 ,🟣 ,🟣 ,— ,— ,— ,— ,purple circle
1447 ,U+1F7E4 ,🟤 ,🟤 ,🟤 ,🟤 ,🟤 ,🟤 ,🟤 ,🟤 ,— ,— ,— ,— ,brown circle
1448 ,U+26AB ,⚫ ,⚫ ,⚫ ,⚫ ,⚫ ,⚫ ,⚫ ,⚫ ,⚫ ,— ,— ,⚫ ,black circle
1449 ,U+26AA ,⚪ ,⚪ ,⚪ ,⚪ ,⚪ ,⚪ ,⚪ ,⚪ ,⚪ ,— ,— ,⚪ ,white circle
1450 ,U+1F7E5 ,🟥 ,🟥 ,🟥 ,🟥 ,🟥 ,🟥 ,🟥 ,🟥 ,— ,— ,— ,— ,red square
1451 ,U+1F7E7 ,🟧 ,🟧 ,🟧 ,🟧 ,🟧 ,🟧 ,🟧 ,🟧 ,— ,— ,— ,— ,orange square
1452 ,U+1F7E8 ,🟨 ,🟨 ,🟨 ,🟨 ,🟨 ,🟨 ,🟨 ,🟨 ,— ,— ,— ,— ,yellow square
1453 ,U+1F7E9 ,🟩 ,🟩 ,🟩 ,🟩 ,🟩 ,🟩 ,🟩 ,🟩 ,— ,— ,— ,— ,green square
1454 ,U+1F7E6 ,🟦 ,🟦 ,🟦 ,🟦 ,🟦 ,🟦 ,🟦 ,🟦 ,— ,— ,— ,— ,blue square
1455 ,U+1F7EA ,🟪 ,🟪 ,🟪 ,🟪 ,🟪 ,🟪 ,🟪 ,🟪 ,— ,— ,— ,— ,purple square
1456 ,U+1F7EB ,🟫 ,🟫 ,🟫 ,🟫 ,🟫 ,🟫 ,🟫 ,🟫 ,— ,— ,— ,— ,brown square
1457 ,U+2B1B ,⬛ ,⬛ ,⬛ ,⬛ ,⬛ ,⬛ ,⬛ ,⬛ ,— ,— ,— ,⬛ ,black large square
1458 ,U+2B1C ,⬜ ,⬜ ,⬜ ,⬜ ,⬜ ,⬜ ,⬜ ,⬜ ,— ,— ,— ,⬜ ,white large square
1459 ,U+25FC ,◼ ,◼ ,◼ ,◼ ,◼ ,◼ ,◼ ,◼ ,◼ ,— ,— ,◼ ,black medium square
1460 ,U+25FB ,◻ ,◻ ,◻ ,◻ ,◻ ,◻ ,◻ ,◻ ,◻ ,— ,— ,◻ ,white medium square
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
1461 ,U+25FE ,◾ ,◾ ,◾ ,◾ ,◾ ,◾ ,◾ ,◾ ,◾ ,— ,— ,◾ ,black medium-small square
1462 ,U+25FD ,◽ ,◽ ,◽ ,◽ ,◽ ,◽ ,◽ ,◽ ,◽ ,— ,— ,◽ ,white medium-small square
1463 ,U+25AA ,▪ ,▪ ,▪ ,▪ ,▪ ,▪ ,▪ ,▪ ,▪ ,— ,— ,▪ ,black small square
1464 ,U+25AB ,▫ ,▫ ,▫ ,▫ ,▫ ,▫ ,▫ ,▫ ,▫ ,— ,— ,▫ ,white small square
1465 ,U+1F536 ,🔶 ,🔶 ,🔶 ,🔶 ,🔶 ,🔶 ,🔶 ,🔶 ,🔶 ,— ,— ,🔶 ,large orange diamond
1466 ,U+1F537 ,🔷 ,🔷 ,🔷 ,🔷 ,🔷 ,🔷 ,🔷 ,🔷 ,🔷 ,— ,— ,🔷 ,large blue diamond
1467 ,U+1F538 ,🔸 ,🔸 ,🔸 ,🔸 ,🔸 ,🔸 ,🔸 ,🔸 ,🔸 ,— ,— ,🔸 ,small orange diamond
1468 ,U+1F539 ,🔹 ,🔹 ,🔹 ,🔹 ,🔹 ,🔹 ,🔹 ,🔹 ,🔹 ,— ,— ,🔹 ,small blue diamond
1469 ,U+1F53A ,🔺 ,🔺 ,🔺 ,🔺 ,🔺 ,🔺 ,🔺 ,🔺 ,🔺 ,— ,— ,🔺 ,red triangle pointed up
1470 ,U+1F53B ,🔻 ,🔻 ,🔻 ,🔻 ,🔻 ,🔻 ,🔻 ,🔻 ,🔻 ,— ,— ,🔻 ,red triangle pointed down
1471 ,U+1F4A0 ,💠 ,💠 ,💠 ,💠 ,💠 ,💠 ,💠 ,💠 ,💠 ,— ,💠 ,— ,diamond with a dot
1472 ,U+1F518 ,🔘 ,🔘 ,🔘 ,🔘 ,🔘 ,🔘 ,🔘 ,🔘 ,🔘 ,— ,— ,🔘 ,radio button
1473 ,U+1F533 ,🔳 ,🔳 ,🔳 ,🔳 ,🔳 ,🔳 ,🔳 ,🔳 ,🔳 ,🔳 ,— ,— ,white square button
1474 ,U+1F532 ,🔲 ,🔲 ,🔲 ,🔲 ,🔲 ,🔲 ,🔲 ,🔲 ,— ,🔲 ,— ,— ,black square button
Flags
flag
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
1475 ,U+1F3C1 ,🏁 ,🏁 ,🏁 ,🏁 ,🏁 ,🏁 ,🏁 ,🏁 ,🏁 ,🏁 ,🏁 ,🏁 ,chequered flag
1476 ,U+1F6A9 ,🚩 ,🚩 ,🚩 ,🚩 ,🚩 ,🚩 ,🚩 ,🚩 ,🚩 ,— ,🚩 ,🚩 ,triangular flag
1477 ,U+1F38C ,🎌 ,🎌 ,🎌 ,🎌 ,🎌 ,🎌 ,🎌 ,— ,🎌 ,🎌 ,— ,🎌 ,crossed flags
1478 ,U+1F3F4 ,🏴 ,🏴 ,🏴 ,🏴 ,🏴 ,🏴 ,🏴 ,🏴 ,— ,— ,— ,— ,black flag
1479 ,U+1F3F3 ,🏳 ,🏳 ,🏳 ,🏳 ,🏳 ,🏳 ,🏳 ,🏳 ,— ,— ,— ,— ,white flag
1480 ,U+1F3F3 U+FE0F U+200D U+1F308 ,🏳️‍🌈 ,🏳️‍🌈 ,🏳️‍🌈 ,🏳️‍🌈 ,🏳️‍🌈 ,🏳️‍🌈 ,🏳️‍🌈 ,🏳️‍🌈 ,— ,— ,— ,— ,rainbow flag
1481 ,U+1F3F4 U+200D U+2620 U+FE0F ,🏴‍☠️ ,🏴‍☠️ ,🏴‍☠️ ,🏴‍☠️ ,🏴‍☠️ ,🏴‍☠️ ,🏴‍☠️ ,🏴‍☠️ ,— ,— ,— ,— ,pirate flag
country-flag
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
1482 ,U+1F1E6 U+1F1E8 ,🇦🇨 ,🇦🇨 ,🇦🇨 ,🇦🇨 ,— ,🇦🇨 ,🇦🇨 ,🇦🇨 ,— ,— ,— ,— ,flag: Ascension Island
1483 ,U+1F1E6 U+1F1E9 ,🇦🇩 ,🇦🇩 ,🇦🇩 ,🇦🇩 ,— ,🇦🇩 ,🇦🇩 ,🇦🇩 ,— ,— ,— ,— ,flag: Andorra
1484 ,U+1F1E6 U+1F1EA ,🇦🇪 ,🇦🇪 ,🇦🇪 ,🇦🇪 ,— ,🇦🇪 ,🇦🇪 ,🇦🇪 ,— ,— ,— ,— ,flag: United Arab Emirates
1485 ,U+1F1E6 U+1F1EB ,🇦🇫 ,🇦🇫 ,🇦🇫 ,🇦🇫 ,— ,🇦🇫 ,🇦🇫 ,🇦🇫 ,— ,— ,— ,— ,flag: Afghanistan
1486 ,U+1F1E6 U+1F1EC ,🇦🇬 ,🇦🇬 ,🇦🇬 ,🇦🇬 ,— ,🇦🇬 ,🇦🇬 ,🇦🇬 ,— ,— ,— ,— ,flag: Antigua & Barbuda
1487 ,U+1F1E6 U+1F1EE ,🇦🇮 ,🇦🇮 ,🇦🇮 ,🇦🇮 ,— ,🇦🇮 ,🇦🇮 ,🇦🇮 ,— ,— ,— ,— ,flag: Anguilla
1488 ,U+1F1E6 U+1F1F1 ,🇦🇱 ,🇦🇱 ,🇦🇱 ,🇦🇱 ,— ,🇦🇱 ,🇦🇱 ,🇦🇱 ,— ,— ,— ,— ,flag: Albania
1489 ,U+1F1E6 U+1F1F2 ,🇦🇲 ,🇦🇲 ,🇦🇲 ,🇦🇲 ,— ,🇦🇲 ,🇦🇲 ,🇦🇲 ,— ,— ,— ,— ,flag: Armenia
1490 ,U+1F1E6 U+1F1F4 ,🇦🇴 ,🇦🇴 ,🇦🇴 ,🇦🇴 ,— ,🇦🇴 ,🇦🇴 ,🇦🇴 ,— ,— ,— ,— ,flag: Angola
1491 ,U+1F1E6 U+1F1F6 ,🇦🇶 ,🇦🇶 ,🇦🇶 ,🇦🇶 ,— ,🇦🇶 ,🇦🇶 ,🇦🇶 ,— ,— ,— ,— ,flag: Antarctica
1492 ,U+1F1E6 U+1F1F7 ,🇦🇷 ,🇦🇷 ,🇦🇷 ,🇦🇷 ,— ,🇦🇷 ,🇦🇷 ,🇦🇷 ,— ,— ,— ,— ,flag: Argentina
1493 ,U+1F1E6 U+1F1F8 ,🇦🇸 ,🇦🇸 ,🇦🇸 ,🇦🇸 ,— ,🇦🇸 ,🇦🇸 ,🇦🇸 ,— ,— ,— ,— ,flag: American Samoa
1494 ,U+1F1E6 U+1F1F9 ,🇦🇹 ,🇦🇹 ,🇦🇹 ,🇦🇹 ,— ,🇦🇹 ,🇦🇹 ,🇦🇹 ,— ,— ,— ,— ,flag: Austria
1495 ,U+1F1E6 U+1F1FA ,🇦🇺 ,🇦🇺 ,🇦🇺 ,🇦🇺 ,— ,🇦🇺 ,🇦🇺 ,🇦🇺 ,— ,— ,— ,— ,flag: Australia
